,ID,name,category,main_category,goal,pledged,state,backers
0,1000002330,The Songs of Adelaide & Abullah,Poetry,Publishing,1000.0,0.0,failed,0
23,1000103948,Superhero Teddy Bear,DIY,Crafts,12000.0,0.0,failed,0
25,1000104953,Rebel Army Origins: The Heroic Story Of Major Gripes,Comics,Comics,100.0,112.38,successful,27
26,1000115172,Daily Brew Coffee,Food Trucks,Food,3500.0,21.0,failed,1
60,1000257563,"""Flying"" Carpets from Azerbaijan, Iran and Turkey/Anatolia",Weaving,Crafts,5000.0,2.0,failed,1
66,1000291122,VOTE (anyone but) TRUMP Candle,Product Design,Design,500.0,218.0,failed,6
71,1000328328,ANVIL Beard,Fashion,Fashion,2000.0,61.0,failed,9
115,1000542390,Spirits Asunder,Film & Video,Film & Video,500.0,5.0,failed,1
117,1000545028,Trackside - Independent documentary featuring Marshals,Documentary,Film & Video,5000.0,5037.0,successful,47
126,10005784,DOGMA - Short Film,Drama,Film & Video,750.0,756.0,successful,15
127,1000581546,Project U-Neek,Art,Art,1500.0,1515.5,successful,19
128,1000581804,Architecture & Design Website,Architecture,Design,500.0,0.0,failed,0
131,1000600012,YA science-fiction/comedy book series: Zeek Kim'lo,Young Adult,Publishing,10000.0,1.0,failed,1
132,1000600526,Rising Star - Unsigned Artist Compilation Album,Hip-Hop,Music,600.0,0.0,failed,0
134,1000620551,Islamic World - Strategic gaming with Islamic values,Mobile Games,Games,1925.0,293.0,failed,5
138,1000638156,Jenny's Photography - Start own business and travel!!,Fine Art,Photography,500.0,10.0,failed,1
139,1000639526,Kaleidoscope Man,Film & Video,Film & Video,60000.0,5487.0,failed,90
148,1000682368,"Rack and Ruin, Out of Orbit 3",Fiction,Publishing,2500.0,1315.0,failed,29
161,1000752960,100 Risings,Documentary,Film & Video,500.0,10.0,failed,1
165,1000770149,Worrisome Wilf's Beastly Bedtime,Children's Books,Publishing,5500.0,5721.0,successful,140
167,1000776914,"VLC for the new Windows 8 User Experience (""Metro"")",Software,Technology,40000.0,47056.86,successful,3080
176,1000811882,The Sword of Asumi Visual Novel,Video Games,Games,2500.0,3097.0,successful,107
186,1000885772,Mooli London | Designer Camera & Tech Bag - The Hampton,Product Design,Design,15000.0,15267.0,successful,85
207,1001028167,Steel Cathedrals- Short poems for the digital age.,Poetry,Publishing,4000.0,20.0,failed,1
217,1001087429,The Bird Nerd,Comedy,Film & Video,400.0,1065.0,successful,36
226,1001137002,Opening Portals DVD,Documentary,Film & Video,2000.0,0.0,failed,0
229,100114978,Inclusive Toolkit: tools for iOS & OS X app accessibility,Software,Technology,5500.0,7157.0,successful,184
234,10011702,Piero Marsili,Documentary,Film & Video,10000.0,0.0,failed,0
245,1001243867,Lego Batman: Zombie Genesis Series,Animation,Film & Video,125.0,242.0,successful,19
261,1001333672,Mutant Plants: A Guide (Canceled),Nonfiction,Publishing,1000.0,55.0,canceled,6
263,1001338443,Lei,Film & Video,Film & Video,370.0,495.0,successful,17
275,1001404128,Project World,Photography,Photography,20000.0,25.0,failed,2
276,1001423755,Single Track - contemporary art gallery and espresso bar,Art,Art,9900.0,10015.0,successful,85
277,1001432466,The Great Fly Cup Bake Off,Events,Food,250.0,340.0,successful,17
292,1001516983,Baby Boom Baby Bag,Fashion,Fashion,1500.0,279.0,failed,12
303,1001566226,Fatnek Clothing Sublimation Series of T-shirts.,Fashion,Fashion,600.0,138.0,failed,7
310,100158537,The Traps - 2nd Record Vinyl Release,Indie Rock,Music,2000.0,2712.0,successful,80
343,100182282,Completion of the history of Kent,Nonfiction,Publishing,30000.0,11.0,failed,1
345,10018239,Borders,Drama,Film & Video,3500.0,40.0,failed,2
352,1001863639,Last Man Standing - Card/board Game Survival,Tabletop Games,Games,3500.0,45.0,canceled,1
355,1001899204,Black Knight Brick Built BBQ Grill,Food,Food,15000.0,0.0,failed,0
356,1001904214,MKP - The Smart & Versatile Touch Screen Keyboard For All,Gadgets,Technology,1700000.0,970.0,canceled,4
367,1001994928,Screening of Mr Turner,Movie Theaters,Film & Video,175.0,41.0,failed,5
369,1002005884,Treasure Trapped,Documentary,Film & Video,5500.0,5539.69,successful,116
382,1002105969,A Romantic Christmas,Illustration,Art,200.0,58.0,failed,2
398,1002187988,Unmasking Mental Health Photographic Project (Canceled),Photography,Photography,300.0,0.0,canceled,0
402,1002193030,"Monster Mob, the fun card game for all the monster family.",Playing Cards,Games,5000.0,80.0,failed,6
418,1002299677,A Dark Forest,Comic Books,Comics,200.0,1097.0,successful,89
449,1002490303,"Mother, I am going",Shorts,Film & Video,3000.0,3396.0,successful,35
452,1002500521,New Abstract artist. If you love art this is for you!,Painting,Art,10000.0,0.0,live,0
453,1002511877,Minecraft Hungergames,Video Games,Games,250.0,3.0,failed,1
458,1002520944,Burning Manc Festival,Metal,Music,1800.0,2250.0,successful,85
477,1002646104,The Book Of Bare Bones 2,Illustration,Art,1000.0,2552.0,successful,141
486,1002715554,a restaurant going against the grain in colchester essex,Restaurants,Food,10000.0,11290.0,successful,167
504,1002777672,Quern - Undying Thoughts,Video Games,Games,20000.0,25114.0,successful,1372
528,1002899845,The Unassisted EP 'Revolution',Indie Rock,Music,750.0,822.0,successful,20
536,1002946462,Courant x Montero Hawaiian shirts (Canceled),Apparel,Fashion,5000.0,195.0,canceled,8
539,100296818,New Social Network,Web,Technology,5000.0,0.0,failed,0
540,1002981465,Autopsy of a Dying Man,Publishing,Publishing,55000.0,0.0,live,0
568,1003189373,Unusual Heroes (Canceled),Video Games,Games,70000.0,1087.0,canceled,36
585,1003308182,The Panini Company,Restaurants,Food,275000.0,3.0,failed,3
622,1003500295,Day X,Photobooks,Photography,2000.0,1318.0,live,20
623,1003500859,I Can't Believe It's Not Potato Salad ! (Canceled),Cookbooks,Food,10.0,12.0,canceled,3
634,1003525413,Mechabrick - A Minifig/Mecha board game and models,Tabletop Games,Games,13000.0,20459.0,successful,301
638,1003558634,Gamerline Clothing (Starter Business need your help!!),Product Design,Design,1000.0,0.0,failed,0
642,1003570206,Sinners III Supernatural/Horror Comic - Night at the Motel,Comic Books,Comics,1200.0,1416.0,live,83
651,1003637092,Bad Day Blues...,Blues,Music,3000.0,70.0,failed,2
655,1003666946,The Promise - Tempus Films,Drama,Film & Video,1000.0,1106.0,successful,21
668,1003769496,Galactic Princess,Video Games,Games,20000.0,34180.0,successful,2108
683,100385010,Music Production,Electronic Music,Music,1000.0,0.0,failed,0
713,1004010327,Kickstart My Art,Digital Art,Art,100.0,3.0,failed,3
728,1004112120,The MagPi Magazine - From Virtual to Reality,Journalism,Journalism,6000.0,29576.33,successful,616
749,1004275497,The Ainsley Band Uk Tour,Indie Rock,Music,250.0,525.0,successful,21
760,1004377000,Entertain Us - The Photobook by Lois Golding,Photobooks,Photography,1500.0,1570.0,successful,60
773,1004457833,Zombme,Video Games,Games,5000.0,20.0,failed,1
797,1004637630,Elemental - and the burning city,Comic Books,Comics,1500.0,1500.0,successful,27
800,100464296,FlowPaw : Learn computer coding by building your own gizmos,Technology,Technology,19500.0,20970.0,successful,145
812,1004749427,BEYOND PARALLEL: Print Edition Run for coming-of-age novel,Fiction,Publishing,2743.0,1139.0,failed,49
813,1004752143,The 'i don't want to apply for x-factor' Music Project,Pop,Music,6500.0,2180.0,failed,30
814,1004756907,Off the beaten track,Photography,Photography,60000.0,1.0,failed,1
823,1004812579,Newton's Wildlife Adventures,Children's Books,Publishing,3000.0,13.0,failed,4
831,1004866875,Original paintings from �10,Painting,Art,500.0,92.0,failed,4
