country,gold,silver,bronze,population,gdp_per_capita,,cummulative
Algeria,0,2,0,39666519,4206.031232,,2
Argentina,21,1,0,43416755,13431.87834,,22
Armenia,1,3,0,3017712,3489.12769,,4
Australia,23,34,25,23781169,56310.96299,,82
Austria,0,0,2,8611088,43774.98517,,2
Azerbaijan,1,7,10,9651349,5496.34464,,18
Bahamas,1,0,5,388019,22817.23086,,6
Burundi,0,1,0,11178921,277.0683092,,1
Belgium,2,17,2,11285721,40324.02777,,21
Belarus,1,4,7,9513000,5740.456495,,12
Brazil,37,8,6,207847528,8538.589975,,51
Bahrain,1,1,0,1377237,22600.2141,,2
Bulgaria,0,1,6,7177991,6993.47736,,7
Canada,4,4,61,35851774,43248.52991,,69
China,46,30,37,1371220000,8027.68381,,113
Cote d'Ivoire,1,0,1,22701556,1398.989958,,2
Colombia,3,2,3,48228704,6056.147717,,8
Croatia,7,15,2,4224404,11535.82936,,24
Cuba,5,2,4,11389562,,,11
Czech Republic,1,2,12,10551219,17548.33821,,15
Denmark,15,10,16,5676002,51989.29347,,41
Dominican Republic,0,0,1,10528391,6468.473492,,1
Egypt,0,0,3,91508084,3614.746766,,3
Spain,9,19,17,46418269,25831.58231,,45
Estonia,0,0,4,1311998,17118.5042,,4
Ethiopia,1,2,5,99390750,619.1694065,,8
Fiji,13,0,0,892145,4960.519954,,13
Finland,0,0,1,5482013,42311.03623,,1
France,20,54,21,66808385,36205.5681,,95
United Kingdom,64,55,26,65138232,43875.96961,,145
Georgia,2,1,4,3679000,3795.973308,,7
Germany,49,44,67,81413145,41313.31399,,160
Greece,3,1,3,10823732,18002.23058,,7
Grenada,0,1,0,106825,9212.020352,,1
Hungary,12,3,7,9844686,12363.54346,,22
Indonesia,2,2,0,257563815,3346.487039,,4
India,0,1,1,1311050527,1598.259034,,2
Iran,3,1,4,79109272,,,8
Ireland,0,3,0,4640703,61133.67243,,3
Israel,0,0,2,8380400,35728.0935,,2
Italy,8,40,24,60802085,29957.80432,,72
Jamaica,11,17,2,2725941,5232.024583,,30
Jordan,1,0,0,7594547,4940.045836,,1
Japan,17,13,35,126958472,32477.21514,,65
Kazakhstan,3,5,9,17544126,10509.98107,,17
Kenya,6,6,1,46050302,1376.712829,,13
"Korea, South",13,3,10,50617045,27221.52405,,26
Lithuania,0,2,5,2910199,14147.04938,,7
Morocco,0,0,1,34377511,2878.201342,,1
Malaysia,0,7,1,30331007,9768.32686,,8
Moldova,0,0,1,3554150,1848.061804,,1
Mexico,0,3,2,127017224,9005.024265,,5
Mongolia,0,1,1,2959134,3967.829386,,2
Netherlands,9,25,13,16936520,44299.76809,,47
Nigeria,0,0,18,182201962,2640.290739,,18
Niger,0,1,0,19899120,358.958152,,1
Norway,0,0,19,5195921,74400.36978,,19
New Zealand,6,25,5,4595700,37807.96728,,36
Philippines,0,1,0,100699395,2904.202082,,1
Poland,3,3,10,37999494,12554.54755,,16
Portugal,0,0,1,10348648,19222.15008,,1
"Korea, North",2,3,2,25155317,,,7
Puerto Rico*,1,0,0,3474182,,,1
Qatar,0,1,0,2235355,73653.39443,,1
South Africa,2,7,14,54956920,5723.973357,,23
Russia,52,29,34,144096812,9092.580536,,115
Singapore,1,0,0,5535002,52888.74467,,1
Slovenia,1,2,1,2063768,20726.53989,,4
Switzerland,6,3,2,8286976,80945.07922,,11
Slovakia,3,5,0,5424050,16088.27759,,8
Sweden,2,23,3,9798871,50579.67365,,28
Thailand,2,2,2,67959359,5814.769764,,6
Tajikistan,1,0,0,8481855,925.9118877,,1
Taiwan,1,0,4,,,,5
Tunisia,0,0,3,11107800,3872.512084,,3
Turkey,1,3,4,78665830,9125.68759,,8
United Arab Emirates,0,0,1,9156963,40438.76293,,1
Ukraine,2,8,5,45198200,2114.954716,,15
United States,139,54,71,321418820,56115.71843,,264
Uzbekistan,4,2,7,31299500,2132.070368,,13
Venezuela,0,1,2,31108083,,,3
Vietnam,1,1,0,91703800,2111.138024,,2
