country,personal_remittances
Africa Eastern and Southern,13702563642.6318
Africa Western and Central,28725646966.5903
Arab World,58620179805.3807
Caribbean small states,4379300645.69045
Central Europe and the Baltics,33006166047.6181
Early-demographic dividend,336063052461.826
East Asia & Pacific,111026823834.594
East Asia & Pacific (excluding high income),95749152587.8854
East Asia & Pacific (IDA & IBRD countries),95751328855.4608
Euro area,84534805597.7539
Europe & Central Asia,178556675352.867
Europe & Central Asia (excluding high income),63840792000.9896
Europe & Central Asia (IDA & IBRD countries),74771225921.6528
European Union,116629601367.06
Fragile and conflict affected situations,46693295131.1899
Heavily indebted poor countries (HIPC),31050674985.1183
High income,142106631952.225
IBRD only,390569036467.487
IDA & IBRD total,517682846788.455
IDA blend,56578812641.5789
IDA only,70534997679.3889
IDA total,127113810320.968
Late-demographic dividend,132686300358.396
Latin America & Caribbean,104268705121.531
Latin America & Caribbean (excluding high income),103214071657.854
Latin America & the Caribbean (IDA & IBRD countries),103937462674.174
Least developed countries: UN classification,51700949483.7604
Low & middle income,508662671322.692
Low income,10434156578.7526
Lower middle income,334148808745.622
Middle East & North Africa,58741919407.3689
Middle East & North Africa (excluding high income),56308388570.4019
Middle East & North Africa (IDA & IBRD countries),53662583145.0394
Middle income,498228514743.939
North America,8893933366.42749
Not classified,
OECD members,183260990842.602
Other small states,5063016818.88611
Pacific island small states,936522317.910432
Post-demographic dividend,143811118300.167
Pre-demographic dividend,35148385500.7946
Small states,10378839782.487
South Asia,147132035582.906
South Asia (IDA & IBRD),147132035582.906
Sub-Saharan Africa,42428210609.2222
Sub-Saharan Africa (excluding high income),42418230922.6547
Sub-Saharan Africa (IDA & IBRD countries),42428210609.2222
Upper middle income,164079705998.317
World,651048303274.917
Afghanistan,788917115.24523
Albania,1465987212.49096
Algeria,1699608934.62519
American Samoa,
Andorra,
Angola,8053050.89441933
Antigua and Barbuda,36331447.7723391
Argentina,630973885.292389
Armenia,1327006085.34023
Aruba,35002157.9368096
Australia,1190622992.45147
Austria,3000359717.84216
Azerbaijan,1403087000
"Bahamas, The",
Bahrain,
Bangladesh,21749701160.5395
Barbados,108317190.29
Belarus,1013700000
Belgium,12693508977.053
Belize,120683619.417896
Benin,206141166.097677
Bermuda,1574100922.76201
Bhutan,83435182.5866655
Bolivia,1126574023.78755
Bosnia and Herzegovina,1858044737.50262
Botswana,35615908.3749505
Brazil,3566219438.48
